,funds,link,location,title
0,"
$2,710 raised of $6,500                    ",https://www.gofundme.com/steven-crowder-live-at-smu,"Dallas, TX",Steven Crowder Live at SMU!
1,"
$12,857 raised of $10,000                    ",https://www.gofundme.com/reopen-a-nc-republican-office-2ukuprzy,"Brookline, MA",Dems help reopen a NC Repub office
2,"
$13,171 raised of $20,000                    ",https://www.gofundme.com/troopersanchez,"Mcallen, TX",Funds for Trooper Moises Sanchez
3,"
$3,649 raised of $5,000                    ",https://www.gofundme.com/mugop,"Columbia, MO",Mizzou College Republicans
4,"
$632 raised of $2,000                    ",https://www.gofundme.com/philly-young-republicans-3rd-annual-backpack-drive,"Philadelphia, PA",Philly Young Republicans 3rd Annual Backpack Drive
5,"
$1,575 raised of $8,000                    ",https://www.gofundme.com/bennett-funeral-expenses,"Nashville, TN",Willis (Bennett)  Funeral Expenses
6,"
$2,625 raised of $1,000                    ",https://www.gofundme.com/rgep2s,"Peoria, IL",The New Republican Bible
7,"
$4,278 raised of $25,000                    ",https://www.gofundme.com/help-repair-our-club,"New York, NY",Help repair our Club!
8,"
$575 raised of $2,500                    ",https://www.gofundme.com/keep-the-gay-republican-alive,"Austin, TX",Help Keep The Gay Republican Alive
9,"
$1,930 raised of $5,000                    ",https://www.gofundme.com/hillsdalecpac,"Hillsdale, MI",CPAC-Hillsdale College Republicans
10,"
$1,595 raised of $1,500                    ",https://www.gofundme.com/25j9xngs,"Everett, WA",Send Natalie to Republican Natl Con
11,"
€120 raised of €200                    ",https://www.gofundme.com/sponsor-andy-for-dublin-marathon,"Dublin, Ireland",Marathon for Republican Prisoners
12,"
$1,575 raised of $3,500                    ",https://www.gofundme.com/cpac-in-washington-dc,"Fairfield, CT",CPAC in Washington DC
13,"
$557 raised of $500                    ",https://www.gofundme.com/templecrs,"Philadelphia, PA",Temple College Republicans Fundraising Initiative
14,"
$340 raised of $1,000                    ",https://www.gofundme.com/eckerd-college-republicans-club,"Saint Petersburg, FL",Eckerd College Republicans Club
15,"
$245 raised of $2,000                    ",https://www.gofundme.com/truman-young-republicans-fundraiser,"Levittown, PA",Truman Young Republicans Fundraiser
16,"
$315 raised of $500                    ",https://www.gofundme.com/send-megan-to-the-college-republican-convention,"Noblesville, IN",Send Megan to the College Republican Convention
17,"
$150 raised of $3,000                    ",https://www.gofundme.com/college-republicans-at-ucsc,"Santa Cruz, CA",College Republicans at UCSC
18,"
$475 raised of $1,000                    ",https://www.gofundme.com/florence-relief-republican,"Lexington, SC",Republicans for Hurricane relief
19,"
$2,600 raised of $5,000                    ",https://www.gofundme.com/3597xp9w,"Sioux Falls, SD",Augie Republicans Trip to CPAC
20,"
$60 raised of $1,500                    ",https://www.gofundme.com/sju-college-republicans-to-cpac-19,"Broomall, PA",SJU College Republicans to CPAC ‘19
21,"
$2,331 raised of $2,500                    ",https://www.gofundme.com/rncjacoballin,"Mississauga, ON",Jacob's Republican Convention Fund
22,"
$880 raised of $3,200                    ",https://www.gofundme.com/2019-fundraiser-for-cru,"Chandler, AZ",2019 Fundraiser for CRU
23,"
$971 raised of $12,500                    ",https://www.gofundme.com/republican-st-ppatch-site-improvements,"Seattle, WA",Republican St. P-Patch Site Improvements
24,"
$1,440 raised of $3,000                    ",https://www.gofundme.com/college-republicans-at-ut-need-help,"Austin, TX",College Republicans at UT need help
25,"
$3,000 raised of $10,000                    ",https://www.gofundme.com/cypress-city-council-republican,"Cypress, CA",Cypress City Council
26,"
$340 raised of $4,000                    ",https://www.gofundme.com/dominic-republican-medical-assist,"Fuquay Varina, NC",Dominican Republic Medical Assist
27,"
$865 raised of $2,500                    ",https://www.gofundme.com/uncw-college-republicans-cpac-2019-trip,"Oxon Hill, MD",UNCW College Republicans CPAC 2019
28,"
$1,100 raised of $1,500                    ",https://www.gofundme.com/bulldog-republicans-go-to-cpac,"Duluth, MN",Bulldog Republicans go to CPAC!
29,"
$125 raised of $5,000                    ",https://www.gofundme.com/college-republicans-ucsc-fund,"Santa Cruz, CA",UCSC College Republicans Fundraiser
30,"
$889 raised of $4,000                    ",https://www.gofundme.com/young-republican-katelyn-mcguyer-needs-support,"Visalia, CA",Katelyn McGuyer needs support
31,"
$505 raised of $5,000                    ",https://www.gofundme.com/political-action-college-republicans,"Hartford, CT",Political Action! College Republicans
32,"
$425 raised of $1,000                    ",https://www.gofundme.com/university-of-toledo-college-republicans,"Perrysburg, OH",University of Toledo College Republicans
33,"
$25 raised of $1,000                    ",https://www.gofundme.com/supportcsufgop,"Fullerton, CA",Support the CSUF Republicans!
34,"
$25 raised of $2,000                    ",https://www.gofundme.com/boone-county-republican-party,"Madison, WV",Boone County Republican Party
35,"
$5 raised of $3,500                    ",https://www.gofundme.com/nmsu-college-republicans,"Las Cruces, NM",NMSU College Republicans
36,"
$10 raised of $500,000                    ",https://www.gofundme.com/republicans-helping-gov039t-shutdown-employees,"Mesquite, NV",Republicans helping  Gov't shutdown employees
37,"
$20 raised of $1,000                    ",https://www.gofundme.com/Behrend-College-Republican-Formal,"Erie, PA",Behrend College Republican Formal
38,"
$25 raised of $500                    ",https://www.gofundme.com/patrick-henry-teen-republicans,"Roanoke, VA",Patrick Henry: Teen republicans
39,"
$500 raised of $20,000                    ",https://www.gofundme.com/save-the-republican-party-of-kauai, ,Save the Republican Party of Kauai
40,"
$80 raised of $500                    ",https://www.gofundme.com/sst-to-the-dominican-republican,"Fort Wayne, IN",SST Trip To The Dominican Republican
41,"
$160 raised of $7,500                    ",https://www.gofundme.com/exploration-into-district-1-republican-congress,"Franklinton, NC",Exploration into District 1 Republican Congress
42,"
$65 raised of $1,000                    ",https://www.gofundme.com/support-university-of-miami-college-republicans,"Miami, FL",Support University of Miami College Republicans
