"Location","White","Black","Asian","Hispanic","American Indian/ Alaska Native","Native Hawaiian/ Pacific Islander","Other","Multiple Race/ Ethnicity","Non-U.S. Citizen/Non-Permanent Resident","Unknown Race/ Ethnicity","Total",Footnotes
"United States","10909","1119","4101","1059","21","9","356","1506","278","195","19553","1"
"Alabama","184","14","30","2","0","0","2","14","0","0","246"
"Alaska","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Arizona","116","3","39","8","0","1","11","19","0","3","200"
"Arkansas","123","5","15","2","0","0","0","12","0","2","159"
"California","380","63","370","94","0","0","29","124","18","14","1092"
"Colorado","103","1","22","7","0","0","2","22","0","2","159"
"Connecticut","149","18","68","11","0","1","5","23","11","4","290"
"Delaware","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"District of Columbia","222","82","80","20","0","0","12","25","11","8","460"
"Florida","482","47","176","73","1","0","24","89","2","6","900"
"Georgia","308","74","93","13","0","1","9","30","2","4","534"
"Hawaii","5","0","43","0","0","3","0","11","1","1","64"
"Idaho","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Illinois","564","72","270","80","0","0","11","85","31","8","1121"
"Indiana","199","29","43","19","1","0","4","17","0","1","313"
"Iowa","119","2","20","5","0","0","1","8","1","0","156"
"Kansas","157","9","11","8","0","0","1","22","0","0","208"
"Kentucky","212","14","30","3","0","0","3","11","7","2","282"
"Louisiana","372","16","63","7","2","0","4","31","5","3","503"
"Maine","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Maryland","256","18","103","8","0","0","4","35","5","6","435"
"Massachusetts","320","24","163","34","1","0","14","50","12","7","625"
"Michigan","519","34","163","11","2","0","35","60","38","8","870"
"Minnesota","196","13","29","9","2","0","0","16","2","3","270"
"Mississippi","104","9","14","0","0","0","1","5","0","1","134"
"Missouri","278","21","143","9","0","0","6","25","18","3","503"
"Montana","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Nebraska","200","5","35","4","0","0","5","15","1","1","266"
"Nevada","44","1","14","1","0","0","0","9","0","0","69"
"New Hampshire","26","6","16","6","1","0","3","10","9","0","77"
"New Jersey","155","24","124","19","0","0","4","28","2","5","361"
"New Mexico","41","4","8","18","3","0","2","10","2","4","92"
"New York","958","108","480","95","1","0","44","124","31","27","1868"
"North Carolina","296","48","73","8","1","0","8","25","8","4","471"
"North Dakota","60","0","2","0","0","0","0","5","0","2","69"
"Ohio","535","42","230","18","0","1","29","64","9","11","939"
"Oklahoma","98","3","28","1","1","0","2","17","0","1","151"
"Oregon","98","0","23","1","0","1","5","19","0","0","147"
"Pennsylvania","744","47","299","43","1","0","16","95","20","18","1283"
"Rhode Island","45","16","35","12","0","0","2","7","1","2","120"
"South Carolina","241","27","30","6","0","0","2","15","1","1","323"
"South Dakota","57","0","2","0","0","0","0","1","0","0","60"
"Tennessee","207","89","48","15","1","0","5","25","10","1","401"
"Texas","731","74","400","135","1","0","18","134","7","17","1517"
"Utah","72","0","16","3","0","0","4","4","0","1","100"
"Vermont","70","2","20","3","0","0","3","13","0","1","112"
"Virginia","286","35","136","10","0","0","8","58","10","7","550"
"Washington","168","3","23","3","0","0","5","17","0","3","222"
"West Virginia","139","4","16","3","0","0","4","3","0","0","169"
"Wisconsin","265","12","53","10","2","1","7","29","3","3","385"
"Wyoming","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Puerto Rico","5","1","2","222","0","0","2","45","0","0","277"
