"Location","White","Black","Asian","Hispanic","American Indian/ Alaska Native","Native Hawaiian/ Pacific Islander","Other","Multiple Race/ Ethnicity","Non-U.S. Citizen/Non-Permanent Resident","Unknown Race/ Ethnicity","Total",Footnotes
"United States","10992","1061","3701","854","20","5","305","1326","355","86","18705","1"
"Alabama","196","11","36","1","1","0","2","7","0","1","255"
"Alaska","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Arizona","103","2","32","8","0","0","4","20","0","1","170"
"Arkansas","119","5","16","1","0","0","1","8","0","1","151"
"California","477","43","311","75","0","1","34","114","18","7","1080"
"Colorado","96","4","10","9","1","0","2","32","4","0","158"
"Connecticut","103","13","45","10","0","0","2","9","17","2","201"
"Delaware","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"District of Columbia","216","82","81","6","0","1","10","35","13","0","444"
"Florida","426","39","131","79","0","0","17","86","2","1","781"
"Georgia","306","78","76","13","0","0","7","24","6","0","510"
"Hawaii","11","0","37","0","0","2","0","13","3","0","66"
"Idaho","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Illinois","594","63","249","48","0","0","9","100","15","4","1082"
"Indiana","234","17","37","4","0","0","2","17","3","0","314"
"Iowa","113","2","23","4","0","0","1","9","0","0","152"
"Kansas","145","11","14","2","0","0","1","16","0","0","189"
"Kentucky","217","7","24","3","0","0","2","9","4","3","269"
"Louisiana","363","15","53","5","0","0","7","23","2","6","474"
"Maine","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Maryland","272","22","91","6","0","0","4","29","5","2","431"
"Massachusetts","368","27","145","21","1","0","10","47","13","4","636"
"Michigan","425","36","145","8","0","0","26","39","14","1","694"
"Minnesota","239","3","27","1","5","0","4","9","4","2","294"
"Mississippi","97","11","10","1","0","0","0","4","0","1","124"
"Missouri","253","19","101","1","0","0","3","25","114","1","517"
"Montana","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Nebraska","223","5","30","4","0","0","2","14","0","2","280"
"Nevada","43","2","10","3","0","0","2","9","0","1","70"
"New Hampshire","40","3","16","4","0","0","4","8","13","0","88"
"New Jersey","123","19","122","18","0","0","9","13","0","3","307"
"New Mexico","50","2","8","21","4","0","1","14","1","1","102"
"New York","982","109","474","79","1","0","40","91","21","12","1809"
"North Carolina","297","39","75","5","1","0","9","33","6","0","465"
"North Dakota","50","0","0","0","2","0","0","3","0","0","55"
"Ohio","604","52","233","15","0","0","14","46","17","7","988"
"Oklahoma","117","0","27","3","3","0","0","14","0","0","164"
"Oregon","96","0","14","2","0","1","2","6","0","3","124"
"Pennsylvania","732","66","295","36","0","0","16","79","22","6","1252"
"Rhode Island","48","10","24","10","0","0","2","10","1","1","106"
"South Carolina","184","20","18","3","0","0","2","16","3","0","246"
"South Dakota","50","0","0","1","0","0","0","2","0","0","53"
"Tennessee","236","95","44","12","0","0","8","31","7","0","433"
"Texas","764","77","348","109","1","0","27","123","17","5","1471"
"Utah","62","2","8","2","0","0","1","3","1","1","80"
"Vermont","82","2","16","2","0","0","3","7","0","1","113"
"Virginia","297","29","137","8","0","0","6","42","6","2","527"
"Washington","152","1","28","8","0","0","5","21","0","1","216"
"West Virginia","142","1","20","0","0","0","1","5","0","0","169"
"Wisconsin","243","15","57","4","0","0","3","18","3","3","346"
"Wyoming","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Puerto Rico","2","2","3","199","0","0","0","43","0","0","249"
