full_name|doing_business_as|license_no|license_type_name|license_status_name|addr_line_1|addr_line_4|addr_city|addr_county|addr_state|addr_zipcode|
1617 WAZEE STREET LLC|LODO WELLNESS CENTER|403-00019|Optional Premises|Expired|1617 Wazee Street, Unit B|Denver CO  80202|Denver|Denver|CO|80202|
3 GUYS AND A GAL|PURE|404R-00362|Retail Marijuana Products Mfg|Expired|101 Cardinal Way #6|Parachute CO  81635|Parachute|Garfield|CO|81635|
36 RESEARCH LLC||403R-00801|Retail Marijuana Cultivation Facility|Expired|36C North Research Drive|Pueblo West CO  81007|Pueblo West|Pueblo|CO|81007|
3-D DENVERS DISCREET DISPENSARY LLC|3D DISPENSARY AND/OR 3D CANNABIS CENTER|402-00078|Center - Type 1|Expired|4305 Brighton Boulevard|Denver CO  80216|Denver|Denver|CO|80216|
3-D DENVERS DISCREET DISPENSARY LLC|3D DISPENSARY AND/OR 3D CANNABIS CENTER|403-00114|Optional Premises|Expired|4305 Brighton Blvd.|Denver CO  80216|Denver|Denver|CO|80216|
3-D DENVERS DISCREET DISPENSARY LLC|3D CANNABIS CENTER|403-01482|Optional Premises|Expired|7706 County Road 150|Salida CO  81201|Salida|Chaffee|CO|81201|
420 GREEN GENIE INC||402R-00471|Retail Marijuana Store|Expired|106 East 4th Avenue|Antonito CO  81120|Antonito|Conejos|CO|81120|
4625 EAST COLFAX LLC|THE CLINIC ALTERNATIVE MEDICINE DBA THE CLINIC|403-00194|Optional Premises|Expired|4625 East Colfax Avenue|Denver CO  80220|Denver|Denver|CO|80220|
4th DIMENSION INC|GAS FACTORY|403R-00534|Retail Marijuana Cultivation Facility|Expired|3144 Verde Road|Pueblo CO  81004|Pueblo|Pueblo|CO|81004|
50 SHADES OF GREEN LLC||403R-00701|Retail Marijuana Cultivation Facility|Expired|4791 North Interstate 25|Pueblo CO  81008|Pueblo|Pueblo|CO|81008|
5110 RACE LLC|THE SANCTUARY WELLNESS CENTER|403-01342|Optional Premises|Expired|890 7th Street|Penrose CO  81240|Penrose|Fremont|CO|81240|
5280 WELLNESS LLC|MMJ AMERICA GOLDEN TRIANGLE|402R-00018|Retail Marijuana Store|Expired|1321 Elati Street|Denver CO  80204|Denver|Denver|CO|80204|
A GROWING CONCERN LLC|A GROWING CONCERN|403R-01036|Retail Marijuana Cultivation Facility|Expired|51956 County Road T|Saguache CO  81149|Saguache|Saguache|CO|81149|
ABCO LLC|QUANTUM CONCENTRATES LLC|404-00463|Infused Product Manufacturer|Expired|4800 North Brighton Boulevard, Suite 100|Denver CO  80216|Denver|Denver|CO|80216|
ACME HEALING CENTER OF CARBONDALE LLC||402R-00347|Retail Marijuana Store|Expired|958 Highway 133|Carbondale CO  81623|Carbondale|Garfield|CO|81623|
ACME HEALING CENTER OF CORTEZ LLC||402R-00433|Retail Marijuana Store|Expired|980 South Broadway Guess|Cortez CO  81321|Cortez|Montezuma|CO|81321|
ACME HEALING CENTER OF RIDGWAY LLC|ACME HEALING CENTER|403-00712|Optional Premises|Expired|22327 US Highway 550 Lot B |Ridgway CO  81432|Ridgway|Ouray|CO|81432|
ADAMS GREEN CROSSING LLC|THE CHRONIC BOUTIQUE|403-01783|Optional Premises|Expired|2727 Palmer Park Boulevard, Suite A|Colorado Springs CO  80909|Colorado Springs|El Paso|CO|80909|
ADAMS GREEN CROSSING LLC|ADAMS GREEN CROSSING|404-00541|Infused Product Manufacturer|Expired|790 West Evans|Denver CO  80219|Denver|Denver|CO|80219|
ADAMS GREEN CROSSING LLC|ADAMS GREEN CROSSING|403-01812|Optional Premises|Expired|4595 Stapleton Drive North|Denver CO  80216|Denver|Denver|CO|80216|
ADAMS GREEN CROSSING LLC|ADAMS GREEN CROSSING|403-01813|Optional Premises|Expired|4595 Stapleton Drive North|Denver CO  80216|Denver|Denver|CO|80216|
ADG HERBAL MEDICINE INC|FROSTED LEAF|402-00665|Center - Type 1|Expired|11 West Hampden Avenue, Suite 102|Englewood CO  80110|Englewood|Arapahoe|CO|80110|
ADVANCED MEDICAL ALTERNATIVES LLC|ADVANCED MEDICAL ALTERNATIVES LLC|403-00351|Optional Premises|Expired|221 North Wyandot Street|Denver CO  80212|Denver|Denver|CO|80212|
AJC INDUSTRIES LLC|TWEEDLEAF|403-01910|Optional Premises|Expired|19469 County Road H|Ordway CO  81063|Ordway|Crowley|CO|81063|
ALL HIS GREEN LLC||403R-01016|Retail Marijuana Cultivation Facility|Expired|1313 Blue Spruce Drive Unit B|Fort Collins CO  80524|Fort Collins|Larimer|CO|80524|
ALL HIS GREEN LLC||404R-00371|Retail Marijuana Products Mfg|Expired|1313 Blue Spruce Drive Unit B|Fort Collins CO  80524|Fort Collins|Larimer|CO|80524|
ALLGREENS LLC||403R-00660|Retail Marijuana Cultivation Facility|Expired|762 Kalamath Street|Denver CO  80204|Denver|Denver|CO|80204|
ALPINE INNOVATIONS LLC|ALPINE EXTRACTS|404R-00238|Retail Marijuana Products Mfg|Expired|850 A & B Commercial Lane|Palmer Lake CO  80133|Palmer Lake|El Paso|CO|80133|
ALPINE WELLNESS LLC||404-00035|Infused Product Manufacturer|Expired|757 Vance Drive|Telluride CO  81435|Telluride|San Miguel|CO|81435|
ALTERNATIVE MEDICAL SOLUTIONS LTD||402R-00279|Retail Marijuana Store|Expired|106 South Mill Street, Suite 201 and 202|Aspen CO  81611|Aspen|Pitkin|CO|81611|
ALWAYS GREEN CBD 1 LLC||403R-00969|Retail Marijuana Cultivation Facility|Expired|67 North Silicon Drive Unit 110-120|Pueblo West CO  81007|Pueblo West|Pueblo|CO|81007|
ALWAYS GREEN CBD 1 LLC||403R-00970|Retail Marijuana Cultivation Facility|Expired|57935 East US Highway 50 Units 100-110|Boone CO  81025|Boone|Pueblo|CO|81025|
AMERICAN PRIDE GROWERS LLC|THE LEAF|402R-00669|Retail Marijuana Store|Expired|875 Crane Ridge Drive|Pueblo CO  81008|Pueblo|Pueblo|CO|81008|
AMERIJUANA INC||403R-00517|Retail Marijuana Cultivation Facility|Expired|39327 Harbour Road|Avondale CO  81022|Avondale|Pueblo|CO|81022|
AMH LTD|ASPEN MOUNTAIN HIGH|404R-00130|Retail Marijuana Products Mfg|Expired|Aspen Business Center, Building 300 Unit A|Aspen CO  81611|Aspen|Pitkin|CO|81611|
ANAPORT ENTERPRISES LLC|GREEN CROSS OF LONGMONT|402R-00728|Retail Marijuana Store|Expired|165 Primrose Court Unit B|Longmont CO  80501|Longmont|Boulder|CO|80501|
ANCIENT ALTERNATIVES LLC|GREEN TREE MEDICINALS|402R-00726|Retail Marijuana Store|Expired|455 Weaver Park Road, Suite 900|Longmont CO  80501|Longmont|Boulder|CO|80501|
ANCIENT ALTERNATIVES LLC|GREEN TREE MEDICINALS|402-01274|Center - Type 1|Expired|455 Weaver Park Road, Suite 900|Longmont CO  80501|Longmont|Boulder|CO|80501|
ASCEND II LLC|ASCEND II|403-00478|Optional Premises|Expired|638 Kalamath Street|Denver CO  80204|Denver|Denver|CO|80204|
AYA||403R-00924|Retail Marijuana Cultivation Facility|Expired|462 Laredo Street, Unit H|Aurora CO  80011|Aurora|Arapahoe|CO|80011|
BALLPARK HOLISTIC DISPENSARY CORP|BALLPARK CONCENTRATES|404R-00375|Retail Marijuana Products Mfg|Expired|4228 York Street Unit 105|Denver CO  80216|Denver|Denver|CO|80216|
BERLIN INTERNATIONAL LLC|PURE GREENS|403-01466|Optional Premises|Expired|7800 County Road 152|Salida CO  81201|Salida|Chaffee|CO|81201|
BEST BUDS INC||402R-00507|Retail Marijuana Store|Expired|811 North Main Street|Gunnison CO  81230|Gunnison|Gunnison|CO|81230|
BEULAH VALLEY FARMS LLC||404R-00373|Retail Marijuana Products Mfg|Expired|7791 Highway 78 West|Beulah CO  81023|Beulah|Pueblo|CO|81023|
BGOOD VENTURES LLC|BGOOD APOTHECARY|403-01662|Optional Premises|Expired|2165 South Kalamath Street|Denver CO  80223|Denver|Denver|CO|80223|
BGOOD VENTURES LLC|BGOOD APOTHECARY|403R-00964|Retail Marijuana Cultivation Facility|Expired|2165 Kalamath Street|Denver CO  80223|Denver|Denver|CO|80223|
BIG MEDICINE LLC|BIG MEDICINE CANNABISSARY|404-00614|Infused Product Manufacturer|Expired|2909 North El Paso Street|Colorado Springs CO  80907|Colorado Springs|El Paso|CO|80907|
BIOENERGETIC HEALING CENTER LLC||403-00185|Optional Premises|Expired|5105 East 38th Avenue, Unit 102&103|Denver CO  80207|Denver|Denver|CO|80207|
BIOENERGETIC HEALING CENTER LLC|Bioenergetic Healing Center|403-01253|Optional Premises|Expired|5105 E 38th Avenue #102|Denver CO  80207|Denver|Denver|CO|80207|
BLACK DOG VALLEY LLC||402-01175|Center - Type 1|Expired|985 Highway 133|Carbondale CO  81623|Carbondale|Garfield|CO|81623|
BLACK DOG VALLEY LLC||403-01795|Optional Premises|Expired|695 Buggy Circle|Carbondale CO  81623|Carbondale|Garfield|CO|81623|
BLACK DOG VALLEY LLC||403R-00705|Retail Marijuana Cultivation Facility|Expired|695 Buggy Circle|Carbondale CO  81623|Carbondale|Garfield|CO|81623|
BOARDLIFE LLC|KUSH LIFE|403R-00663|Retail Marijuana Cultivation Facility|Expired|5715 Fairfax Street|Commerce City CO  80022|Commerce City|Adams|CO|80022|
BODHI TREE EXTRACTS LLC||404R-00136|Retail Marijuana Products Mfg|Expired|1818 North Santa Fe Drive|Pueblo CO  81006|Pueblo|Pueblo|CO|81006|
BORIS DYNOWSKI LLC|I & I|404R-00342|Retail Marijuana Products Mfg|Expired|6185 Arapahoe Avenue Unit C|Boulder CO  80303|Boulder|Boulder|CO|80303|
BOTICA DEL SOL LLC|BOTICA DEL SOL|402-00724|Center - Type 1|Expired|754 South Broadway|Denver CO  80209|Denver|Denver|CO|80209|
BOTICA DEL SOL LLC|BOTICA DEL SOL|403-01094|Optional Premises|Expired|150 North Tejon |Denver CO  80223|Denver|Denver|CO|80223|
BOULDER ALTERNATIVE CARE LLC|THE GREEN ROOM|402R-00719|Retail Marijuana Store|Expired|1600 Hover Street #C-1|Longmont CO  80501|Longmont|Boulder|CO|80501|
BOULDER MEDICINALS LLC|8th STREET WELLNESS CENTER|403-00723|Optional Premises|Expired|2450 Central Ave, Ste L|Boulder CO  80302|Boulder|Boulder|CO|80302|
BOULDER MEDICINALS LLC|8th STREET WELLNESS CENTER|402-00574|Center - Type 1|Expired|1990 8th Street, Suite B|Boulder CO  80302|Boulder|Boulder|CO|80302|
BOULDER RX LLC|NATIVE ROOTS BOULDER|403R-00795|Retail Marijuana Cultivation Facility|Expired|2100 53rd Lane |Boone CO  81025|Boone|Pueblo|CO|81025|
BRONNOR CORP|BRONNER CORP|404-00200|Infused Product Manufacturer|Expired|4809 Colorado Boulevard |Denver CO  80216|Denver|Denver|CO|80216|
B'S TREATS LLC||403-01566|Optional Premises|Expired|1952 South Acoma Street|Denver CO  80223|Denver|Denver|CO|80223|
BUDDIES WELLNESS LLC|LA BODEGA|402R-00178|Retail Marijuana Store|Expired|1270 West Cedar Avenue, Suite A|Denver CO  80223|Denver|Denver|CO|80223|
BUDDIES WELLNESS LLC|LA BODEGA|403R-00234|Retail Marijuana Cultivation Facility|Expired|1270 West Cedar Avenue, Suite A|Denver CO  80223|Denver|Denver|CO|80223|
BUDS, LIMITED||403R-00737|Retail Marijuana Cultivation Facility|Expired|8495 Highway 6 & 24|Parachute CO  81635|Parachute|Garfield|CO|81635|
BULLDOG GREEN LLC||403R-00949|Retail Marijuana Cultivation Facility|Expired|60810 Highway 96 East|Boone CO  81025|Boone|Pueblo|CO|81025|
BUSHES LLC|ROCKY FORD STATION LLC|404-00592|Infused Product Manufacturer|Expired|1701 Elm Aveune|Rocky Ford CO  81067|Rocky Ford|Otero|CO|81067|
C A WILLIAMS ENTERPRISES LLC||403R-00695|Retail Marijuana Cultivation Facility|Expired|2300 East State Highway 96|Pueblo CO  81001|Pueblo|Pueblo|CO|81001|
C^3 COLORADO SPRINGS LLC|PURE INTENTIONS WELLNESS CENTER|403-00990|Optional Premises|Expired|375 Shoop Drive|Penrose CO  81240|Penrose|Fremont|CO|81240|
C^3 COLORADO SPRINGS LLC|PURE INTENTIONS WELLNESS CENTER|403-00992|Optional Premises|Expired|375 Shoop Drive|Penrose CO  81240|Penrose|Fremont|CO|81240|
C^3 COLORADO SPRINGS LLC|PURE INTENTIONS WELLNESS CENTER|402R-00562|Retail Marijuana Store|Expired|2565 North Interstate 25|Pueblo CO  81008|Pueblo|Pueblo|CO|81008|
CADISA ENTERPRISES||403R-00577|Retail Marijuana Cultivation Facility|Expired|6859 North Foothills Highway, Building C, Unit 600|Boulder CO  80302|Boulder|Boulder|CO|80302|
CADISA ENTERPRISES||404R-00154|Retail Marijuana Products Mfg|Expired|6859 North Foothills Highway, Building C, Unit 600|Boulder CO  80302|Boulder|Boulder|CO|80302|
CAKRAFARM |CAKRAFARM|403R-00971|Retail Marijuana Cultivation Facility|Expired|7440 Rex Road|Pueblo CO  81005|Pueblo|Pueblo|CO|81005|
CANNA CABANA LLC||402R-00447|Retail Marijuana Store|Expired|66803 Highway 285|Bailey CO  80421|Bailey|Park|CO|80421|
CANNA CABANA LLC||403R-00522|Retail Marijuana Cultivation Facility|Expired|66803 US Highway 285|Bailey CO  80421|Bailey|Park|CO|80421|
CANNA CANDIES LLC||404-00113|Infused Product Manufacturer|Expired|4986 Morrison Road Unit 1|Denver CO  80219|Denver|Denver|CO|80219|
CANNA CANDIES LLC|Canna Candies, LLC|403-01437|Optional Premises|Expired|688 North Bryant Street|Denver CO  80204|Denver|Denver|CO|80204|
CANNA CENTER LLC|CANNA CENTER LLC|402-00057|Center - Type 1|Expired|5670 East Evans Avenue #216|Denver CO  80222|Denver|Denver|CO|80222|
CANNA CENTER LLC||403-00078|Optional Premises|Expired|3819 North Quentin Street|Denver CO  80239|Denver|Denver|CO|80239|
CANNA KING|CANNA KING|402-00845|Center - Type 1|Expired|5740 South College Avenue, Unit B|Fort Collins CO  80526|Fort Collins|Larimer|CO|80526|
CANNA KING|CANNA KING|403-01301|Optional Premises|Expired|1225 Blue Spruce, Unit F|Fort Collins CO  80524|Fort Collins|Larimer|CO|80524|
CANNABICARE INC||403-00156|Optional Premises|Expired|1472 Woolsey Heights|Colorado Springs CO  80915|Colorado Springs|El Paso|CO|80915|
CANNABIS CORP|CANNABIS|403-00289|Optional Premises|Expired|1055 South Fox Street|Denver CO  80223|Denver|Denver|CO|80223|
CANNABIS MAXIMUS LLC|CANNABIS MAXIMUS|403R-00588|Retail Marijuana Cultivation Facility|Expired|472 Laredo Street, Unit L|Aurora CO  80011|Aurora|Arapahoe|CO|80011|
CANNABIS QUEEN LLC||403R-00950|Retail Marijuana Cultivation Facility|Expired|44895 Commanche Creek Road|Bennett CO  80102|Bennett|Elbert|CO|80102|
CC GROUP|CANNA CREATIONS|403-01329|Optional Premises|Expired|2306 North Powers Boulevard, #100|Colorado Springs CO  80915|Colorado Springs|El Paso|CO|80915|
CCOMAG INC|H.O.G. PHARM|403R-00402|Retail Marijuana Cultivation Facility|Expired|24C North Research Drive|Pueblo CO  81007|Pueblo|Pueblo|CO|81007|
CCOMAG INC|HOG PHARM|403R-00715|Retail Marijuana Cultivation Facility|Expired|24C North Research Drive|Pueblo West CO  81007|Pueblo West|Pueblo|CO|81007|
CERES COLORADO LLC|CERES GROUP|403R-00613|Retail Marijuana Cultivation Facility|Expired|3815 County Road 2 - P.O. Box 767|Silverton CO  81433|Silverton|San Juan|CO|81433|
CG NETWORK LLC|GROUNDSWELL|402-00161|Center - Type 1|Expired|3121 East Colfax Avenue|Denver CO  80206|Denver|Denver|CO|80206|
CGE LLC|CANN GROW ENTERPRISES|403R-00545|Retail Marijuana Cultivation Facility|Expired|6040 Big Sky Drive, Building A|Rye CO  81069|Rye|Pueblo|CO|81069|
CH II LLC|TERPS N PURPS|402-01172|Center - Type 1|Expired|285 South Pearl Street|Denver CO  80209|Denver|Denver|CO|80209|
CH II LLC|TERPS N PURPS|403-01791|Optional Premises|Expired|155 South Pecos Street|Denver CO  80223|Denver|Denver|CO|80223|
CHOICE ORGANICS INC||404R-00076|Retail Marijuana Products Mfg|Expired|813 Smithfield Drive|Fort Collins CO  80524|Fort Collins|Larimer|CO|80524|
CLAVIS AUREA LLC|THE GOLDEN KEY|403R-00925|Retail Marijuana Cultivation Facility|Expired|23054 State Highway 160 Site 4|Walsenburg CO  81089|Walsenburg|Huerfano|CO|81089|
CO-AGRONOMICS LLC|THE GREEN DEPOT|402-01060|Center - Type 1|Expired|4414 Vine Street|Denver CO  80216|Denver|Denver|CO|80216|
CO-AGRONOMICS LLC|THE GREEN DEPOT|403-01654|Optional Premises|Expired|4414 Vine Street|Denver CO  80216|Denver|Denver|CO|80216|
CO-AGRONOMICS LLC|THE GREEN DEPOT|402R-00709|Retail Marijuana Store|Expired|4414 Vine Street|Denver CO  80216|Denver|Denver|CO|80216|
COLLECTED SUN LLC|COLLECTED SUN|403R-00738|Retail Marijuana Cultivation Facility|Expired|6183 Red Creek Springs Road West|Pueblo CO  81005|Pueblo|Pueblo|CO|81005|
COLONA WILDCAT FARMS LLC||403R-00595|Retail Marijuana Cultivation Facility|Expired|37047 Highway 550|Montrose CO  81403|Montrose|Ouray|CO|81403|
COLORADO CANNABIS ASSOCIATES LLC|THE SPOT|402-00319|Center - Type 1|Expired|748 East Industrial Blvd.|Pueblo West CO  81007|Pueblo West|Pueblo|CO|81007|
COLORADO CANNABIS ASSOCIATES LLC|NATURES REMEDY WELLNESS|403-00476|Optional Premises|Expired|748 East Industrial Blvd.|Pueblo West CO  81007|Pueblo West|Pueblo|CO|81007|
COLORADO COLITAS LLC|HERBAL REMEDIES |403-00985|Optional Premises|Expired|5109 West Alameda Avenue|Denver CO  80219|Denver|Denver|CO|80219|
COLORADO DREAM SUPPLIES LLC|COLORADO DREAM|402R-00348|Retail Marijuana Store|Expired|24040 Highway 9|Hartsel CO  80449|Hartsel|Park|CO|80449|
COLORADO DREAM SUPPLIES LLC|COLORADO DREAM |403R-00386|Retail Marijuana Cultivation Facility|Expired|24040 Highway 9|Hartsel CO  80449|Hartsel|Park|CO|80449|
COLORADO DREAM SUPPLIES LLC|COLORADO DREAM SUPPLIES LLC|404R-00095|Retail Marijuana Products Mfg|Expired|24040 Highway 9|Hartsel CO  80449|Hartsel|Park|CO|80449|
COLORADO GOLD LLP|COLORADO GOLD|403R-00819|Retail Marijuana Cultivation Facility|Expired|36530 East Highway 96|Pueblo CO  81006|Pueblo|Pueblo|CO|81006|
COLORADO GROW CORPORATION|CGC|404-00075|Infused Product Manufacturer|Expired|1239 West Nevada Place|Denver CO  80223|Denver|Denver|CO|80223|
