full_name|doing_business_as|license_no|license_type_name|license_status_name|addr_line_1|addr_line_4|addr_city|addr_county|addr_state|addr_zipcode|
12 STEP POOL LLC|12 STEP POOL, LLC|404-00005|Infused Product Manufacturer|Withdrawn|1005 N FEDERAL BLVD|DENVER CO  80503|DENVER||CO|80503|
1ST CMMD LLC|Alternative Medical Remedies|402-00191|Center - Type 1|Withdrawn|823 GRAND AVE|Glenwood Springs CO  81601|Glenwood Springs|Garfield|CO|81601|
1ST CMMD LLC|Alternative Medical Remedies|403-00282|Optional Premises|Withdrawn|240 ARTHUR AVE|Oak Creek CO  80467|Oak Creek|Routt|CO|80467|
1ST CMMD LLC|Alternative Medical Remedies|404-00079|Infused Product Manufacturer|Withdrawn|823 GRAND AVE|Glenwood Springs CO  81601|Glenwood Springs|Garfield|CO|81601|
21000 INC||402R-00272|Retail Marijuana Store|Withdrawn|21000 East 32nd Parkway|Aurora CO  80011|Aurora|Adams|CO|80011|
2760 HAMPDEN INC|THE FIRE PLACE|402R-00745|Retail Marijuana Store|Withdrawn|2800 West Hampden Avenue|Sheridan CO  80110|Sheridan|Arapahoe|CO|80110|
2BK LLC|THE GOLDEN GOAT|402-00456|Center - Type 1|Withdrawn|4800 Bighton Blvd.|Denver CO  80216|Denver|Denver|CO|80216|
2BK LLC|THE GOLDEN GOAT|403-00688|Optional Premises|Withdrawn|4242 Elizabeth Street|Denver CO  80216|Denver|Denver|CO|80216|
2BK LLC|THE GOLDEN GOAT|403-00689|Optional Premises|Withdrawn|4242 Elizabeth Street, Unit #6|Denver CO  80216|Denver|Denver|CO|80216|
38TH AVENUE INC|THE RESERVE|402-01009|Center - Type 1|Withdrawn|4837 North Washington Street|Denver CO  80216|Denver|Denver|CO|80216|
38TH AVENUE INC|THE RESERVE|403-01594|Optional Premises|Withdrawn|11100 East 51st Avenue|Denver CO  80239|Denver|Denver|CO|80239|
420 JUST BAKED LLC||404-00248|Infused Product Manufacturer|Withdrawn|9900 W. Stanford Avenue, Suite 109|Littleton CO  80123|Littleton|Jefferson|CO|80123|
420 WELLNESS DISPENSARY LLC|420 WELLNESS DISPENSARY LLC|402-00327|Center - Type 3|Withdrawn|2748 W. Alameda Avenue|Denver CO  80219|Denver|Denver|CO|80219|
420 WELLNESS DISPENSARY LLC|420 WELLNESS DISPENSARY LLC|403-00490|Optional Premises|Withdrawn|1156 S Kalamath St|Denver CO  80223|Denver|Denver|CO|80223|
420 WELLNESS DISPENSARY LLC|420 WELLNESS DISPENSARY LLC|402-00328|Center - Type 1|Withdrawn|2426 S Federal Blvd|Denver CO  80219|Denver|Denver|CO|80219|
420 WELLNESS DISPENSARY LLC|THE MEDICATION STATION|403-00491|Optional Premises|Withdrawn|2375 South Delaware Street|Denver CO  80223|Denver|Denver|CO|80223|
420 WELLNESS DISPENSARY LLC|THE MEDICATION STATION|402-00329|Center - Type 1|Withdrawn|4611 Peoria Street|Denver CO  80239|Denver|Denver|CO|80239|
420 WELLNESS DISPENSARY LLC|THE MEDICATION STATION|403-01011|Optional Premises|Withdrawn|3201 East Brighton Boulevard|Denver CO  80216|Denver|Denver|CO|80216|
4625 EAST COLFAX LLC|THE CLINIC ALTERNATIVE MEDICINE DBA THE CLINIC|403-00191|Optional Premises|Withdrawn|1045 Zuni St|Denver CO  80204|Denver|Denver|CO|80204|
4625 EAST COLFAX LLC|THE CLINIC ALTERNATIVE MEDICINE DBA THE CLINIC|403-00195|Optional Premises|Withdrawn|5801 W 6th Ave Units 5A-5B-5C|Lakewood CO  80214|Lakewood|Jefferson|CO|80214|
4625 EAST COLFAX LLC|THE CLINIC ALTERNATIVE MEDICINE DBA THE CLINIC|404-00045|Infused Product Manufacturer|Withdrawn|4625 E COLFAX AVE|Denver CO  80220|Denver|Denver|CO|80220|
5 EYED JACK LLC ||402R-00819|Retail Marijuana Store|Withdrawn|1411 Hecla Way |Louisville CO  80027|Louisville|Boulder|CO|80027|
8TH STREET CARE CENTER LIMITED LIABILITY LLC|8TH STREET CARE CENTER LIMITED LIABILITY LLC|402-00252|Center - Type 1|Withdrawn|1990 - 8th St|Boulder CO  80302|Boulder|Boulder|CO|80302|
8TH STREET CARE CENTER LIMITED LIABILITY LLC|8TH STREET CARE CENTER LIMITED LIABILITY LLC|403-00376|Optional Premises|Withdrawn|2345 S Delaware St|Denver CO  80223|Denver|Denver|CO|80223|
A MILE HIGH LLC||402-00616|Center - Type 1|Withdrawn|63 W Alameda Ave|Denver CO  80223|Denver|Denver|CO|80223|
A MILE HIGH LLC||403-00914|Optional Premises|Withdrawn|3860 to 3880 Holly Street|Denver CO  80207|Denver|Denver|CO|80207|
A NEW DAWN WELLNESS CLINIC|A NEW DAWN WELLNESS CLINIC|402-00673|Center - Type 1|Withdrawn|520 1/2 Main Street|Windsor CO  80550|Windsor|Weld|CO|80550|
A NEW DAWN WELLNESS CLINIC|A NEW DAWN WELLNESS CLINIC|403-01015|Optional Premises|Withdrawn|3801 17th Avenue|Evans CO  80620|Evans|Weld|CO|80620|
A ROCKY MOUNTAIN MEDICAL MARIJUANA DISPENSARY LLC|A ROCKY MOUNTAIN MEDICAL MARIJUANA DISPENSARY LLC|402-00820|Center - Type 1|Withdrawn|302 CENTRAL AVENUE|Dolores CO  81323|Dolores|Montezuma|CO|81323|
A ROCKY MOUNTAIN MEDICAL MARIJUANA DISPENSARY LLC|A ROCKY MOUNTAIN MEDICAL MARIJUANA DISPENSARY LLC|403-01246|Optional Premises|Withdrawn|302 CENTAL AVENUE|Dolores CO  81323|Dolores|Montezuma|CO|81323|
ABERRENT LLC|CHAMELEON CONCOCTIONS|404-00483|Infused Product Manufacturer|Withdrawn|9780 East Girard Avenue|Denver CO  80237|Denver|Denver|CO|80237|
ABREE LLC|ABREE|402R-00619|Retail Marijuana Store|Withdrawn|130 West 84th Aveune|Thornton CO  80260|Thornton|Adams|CO|80260|
ABSOLUTE MANITOU WELLNESS CENTER LLC|ABSOLUTE MANITOU WELLNESS CENTER LLC|403-01032|Optional Premises|Withdrawn|3632 W. Colorado Ave.|Colorado Springs CO  80904|Colorado Springs|El Paso|CO|80904|
ABSOLUTE MANITOU WELLNESS CENTER LLC|RESERVE 1 GLENDALE|402R-00197|Retail Marijuana Store|Withdrawn|4182 East Virginia Street, Unit C|Glendale CO  80246|Glendale|Denver|CO|80246|
ABSOLUTE MANITOU WELLNESS CENTER LLC|RESERVE 1 GLENDALE|403R-00255|Retail Marijuana Cultivation Facility|Withdrawn|4400 Garfield Street|Denver CO  80216|Denver|Denver|CO|80216|
ACADEMY OF THE HEALING ARTS LLC|HIGH VALLEY RETAIL CANNABIS|402R-00206|Retail Marijuana Store|Withdrawn|60250 County Road T|Moffat CO  81143|Moffat|Saguache|CO|81143|
ACADEMY OF THE HEALING ARTS LLC||403R-00266|Retail Marijuana Cultivation Facility|Withdrawn|17505 County Road 52|Saguache CO  81149|Saguache|Saguache|CO|81149|
ACC, LLC|Cannabis & Co.|402-00615|Center - Type 1|Withdrawn|4379 Tejon Street|Denver CO  80211|Denver|Denver|CO|80211|
ACC, LLC|Cannabis & Co.|404-00242|Infused Product Manufacturer|Withdrawn|4379 Tejon Street|Denver CO  80211|Denver|Denver|CO|80211|
ACC, LLC|Cannabis & Co.|403-00913|Optional Premises|Withdrawn|40-44 South Galapago Street|Denver CO  80223|Denver|Denver|CO|80223|
ACC, LLC|Cannabis & Co.|403-01250|Optional Premises|Withdrawn|4379 TEJON STREET|Denver CO  80211|Denver|Denver|CO|80211|
ACME DISPENSARY INC|ACME DISPENSARY INC|403-01244|Optional Premises|Withdrawn|44001 COUNTY RD M|Saguache CO  81149|Saguache|Saguache|CO|81149|
ADAMS GREEN CROSSING LLC|ADAMS GREEN CROSSING|403-01695|Optional Premises|Withdrawn|400 Quivas|Denver CO  80202|Denver|Denver|CO|80202|
ADAMS GREEN CROSSING LLC|ADAMS GREEN CROSSING|403-01696|Optional Premises|Withdrawn|400 Quivas|Denver CO  80202|Denver|Denver|CO|80202|
ADAMS GREEN CROSSING LLC|ADAMS GREEN CROSSING|404-00474|Infused Product Manufacturer|Withdrawn|400 Quivas|Denver CO  80202|Denver|Denver|CO|80202|
ADG HERBAL MEDICINE INC|ADG HERBAL MEDICINE INC|403-01002|Optional Premises|Withdrawn|11 WEST HAMPDEN AVENUE|Englewood CO  80110|Englewood|Arapahoe|CO|80110|
ADVANCE CURE FOR VERA BESTURA LLC|ADVANCE CURE FOR VERA BESTURA LLC|404-00305|Infused Product Manufacturer|Withdrawn|2755 Ore Miller Road Unit #13 & 14|Colorado Springs CO  80904|Colorado Springs|El Paso|CO|80904|
AJS FEDERAL LLC||402R-00649|Retail Marijuana Store|Withdrawn|468 South Federal Boulevard|Denver CO  80223|Denver|Denver|CO|80223|
