full_name|doing_business_as|license_no|license_type_name|license_status_name|addr_line_1|addr_line_4|addr_city|addr_county|addr_state|addr_zipcode|
2116 SYSTEMS LLC||403R-00413|Retail Marijuana Cultivation Facility|Revoked|2116 South Kalamath Street|Denver CO  80223|Denver|Denver|CO|80223|
AJS EVANS LLC|SWEET LEAF|403-01564|Optional Premises|Revoked|1011 West 45th Avenue|Denver CO  80211|Denver|Denver|CO|80211|
AJS EVANS LLC|SWEET LEAF|403R-00806|Retail Marijuana Cultivation Facility|Revoked|1011 West 45th Avenue|Denver CO  80211|Denver|Denver|CO|80211|
AJS EVANS LLC|SWEET LEAF|402-00994|Center - Type 3|Revoked|4379 Tejon Street|Denver CO  80211|Denver|Denver|CO|80211|
AJS FEDERAL LLC|SWEET LEAF|403-01567|Optional Premises|Revoked|136 Yuma Street|Denver CO  80223|Denver|Denver|CO|80223|
AJS FEDERAL LLC|SWEET LEAF|402-01188|Center - Type 1|Revoked|468 South Federal Boulevard|Denver CO  80219|Denver|Denver|CO|80219|
AJS FEDERAL LLC|SWEET LEAF|402R-00675|Retail Marijuana Store|Revoked|468 South Federal Boulevard|Denver CO  80219|Denver|Denver|CO|80219|
BIG TOE LLC|FINE TREES|403-00290|Optional Premises|Revoked|5353 Joliet Street|Denver CO  80239|Denver|Denver|CO|80239|
BIG TOE LLC|FINE TREES|403R-00304|Retail Marijuana Cultivation Facility|Revoked|5353 Joliet Street|Denver CO  80239|Denver|Denver|CO|80239|
BIG TOE LLC|FINE TREES|402-00996|Center - Type 1|Revoked|5353 Joliet Street|Denver CO  80239|Denver|Denver|CO|80239|
BIG TOE LLC|FINE TREES|402R-00597|Retail Marijuana Store|Revoked|5353 Joliet Street|Denver CO  80239|Denver|Denver|CO|80239|
CAM CORPORATION||403-00021|Optional Premises|Revoked|2391 South Delaware, Suite100|Denver CO  80210|Denver|Denver|CO|80210|
CAM CORPORATION||403-00846|Optional Premises|Revoked|5475 Peoria Street, Units 1-109|Denver CO  80239|Denver|Denver|CO|80239|
CAM CORPORATION|CAM|402R-00090|Retail Marijuana Store|Revoked|2394 South Broadway|Denver CO  80210|Denver|Denver|CO|80210|
CAM CORPORATION||403R-00115|Retail Marijuana Cultivation Facility|Revoked|5475 Peoria Street|Denver CO  80239|Denver|Denver|CO|80239|
CAM CORPORATION||402-00897|Center - Type 3|Revoked|2394 South Broadway|Denver CO  80210|Denver|Denver|CO|80210|
CAM CORPORATION||403-01425|Optional Premises|Revoked|4525 Ironton Street|Denver CO  80239|Denver|Denver|CO|80239|
CAM CORPORATION|CAM|404-00376|Infused Product Manufacturer|Revoked|2391 South Delaware Street, Suite 200|Denver CO  80223|Denver|Denver|CO|80223|
CAM CORPORATION|CAM|403R-00295|Retail Marijuana Cultivation Facility|Revoked|4525 Ironton Street |Denver CO  80239|Denver|Denver|CO|80239|
CAM CORPORATION|CAM CORPORATION|404R-00078|Retail Marijuana Products Mfg|Revoked|4525 Ironton Street|Denver CO  80239|Denver|Denver|CO|80239|
CANNLABS INC||405R-00003|RMJ Testing Facility|Revoked|3888 East Mexico Avenue, B50|Denver CO  80210|Denver|Denver|CO|80210|
DGP 38th  LLC|SWEET LEAF|403-01707|Optional Premises|Revoked|124 Yuma Street|Denver CO  80223|Denver|Denver|CO|80223|
DGP 38TH LLC|SWEET LEAF|402-00865|Center - Type 1|Revoked|2647 West 38th Avenue|Denver CO  80205|Denver|Denver|CO|80205|
DGP 38TH LLC|SWEET LEAF|402R-00120|Retail Marijuana Store|Revoked|2647 West 38th Avenue|Denver CO  80211|Denver|Denver|CO|80211|
DGP ELATI LLC|SWEET LEAF|402R-00009|Retail Marijuana Store|Revoked|4125 Elati Street|Denver CO  80216|Denver|Denver|CO|80216|
DGP ELATI LLC|SWEET LEAF|403R-00008|Retail Marijuana Cultivation Facility|Revoked|4715 Colorado Boulevard|Denver CO  80216|Denver|Denver|CO|80216|
DGP ELATI LLC|SWEET LEAF|403R-00009|Retail Marijuana Cultivation Facility|Revoked|4125 Elati Street|Denver CO  80216|Denver|Denver|CO|80216|
DGP SMITH LLC|SWEET LEAF|402R-00109|Retail Marijuana Store|Revoked|7200 East Smith Road|Denver CO  80207|Denver|Denver|CO|80207|
DGP WALNUT LLC|SWEET LEAF|402-00152|Center - Type 1|Revoked|2609 Walnut Street|Denver CO  80205|Denver|Denver|CO|80205|
DGP WALNUT LLC|SWEET LEAF|403-00221|Optional Premises|Revoked|2609 Walnut Street|Denver CO  80205|Denver|Denver|CO|80205|
DGP WALNUT LLC|SWEET LEAF|402R-00119|Retail Marijuana Store|Revoked|2609 Walnut Street|Denver CO  80205|Denver|Denver|CO|80205|
DGP WALNUT LLC|SWEET LEAF|403R-00156|Retail Marijuana Cultivation Facility|Revoked|2609 Walnut Street|Denver CO  80205|Denver|Denver|CO|80205|
FEDERAL CORRIDOR LLC|SWEET LEAF|403-01626|Optional Premises|Revoked|1475 South Acoma Street|Denver CO  80223|Denver|Denver|CO|80223|
FEDERAL CORRIDOR LLC|SWEET LEAF|402-01189|Center - Type 1|Revoked|9462 Federal Boulevard|Federal Heights CO  80260|Federal Heights|Adams|CO|80260|
FROST HARVEST CO INC||402-00471|Center - Type 1|Revoked|County Road 17, Highway 160 |Fort Garland CO  81133|Fort Garland|Costilla|CO|81133|
FROST HARVEST CO INC||403-00705|Optional Premises|Revoked|County Road 17, Highway 160|Fort Garland CO  81133|Fort Garland|Costilla|CO|81133|
FROST HARVEST CO INC||402-01132|Center - Type 1|Revoked|2970 West Severn Place|Denver CO  80204|Denver|Denver|CO|80204|
FROST HARVEST CO INC||403-01737|Optional Premises|Revoked|811 West Bayaud Avenue|Denver CO  80223|Denver|Denver|CO|80223|
GREEN EARTH WELLNESS CENTER LLC||402-00079|Center - Type 1|Revoked|519 North 30th Street|Colorado Springs CO  80904|Colorado Springs|El Paso|CO|80904|
GREEN EARTH WELLNESS CENTER LLC||403-00115|Optional Premises|Revoked|505 North 30th Street, Units B & H|Colorado Springs CO  80904|Colorado Springs|El Paso|CO|80904|
HEAVENLY MEDICAL INC|HEAVENLY MEDICAL CAREGIVER|402-00856|Center - Type 1|Revoked|5323 Montbello Lane|Colorado Springs CO  80918|Colorado Springs|El Paso|CO|80918|
HEAVENLY MEDICAL INC|HEAVENLY MEDICAL CAREGIVER|403-01319|Optional Premises|Revoked|2130 Reliable Circle|Colorado Springs CO  80906|Colorado Springs|El Paso|CO|80906|
HERBAL WELLNESS|SWEET LEAF|403-00265|Optional Premises|Revoked|1475 South Acoma Street|Denver CO  80223|Denver|Denver|CO|80223|
HERBAL WELLNESS|SWEET LEAF|402R-00472|Retail Marijuana Store|Revoked|4400 East Evans Avenue|Denver CO  80222|Denver|Denver|CO|80222|
