full_name|doing_business_as|license_no|license_type_name|license_status_name|addr_line_1|addr_line_4|addr_city|addr_county|addr_state|addr_zipcode|
1 STOP SHOP LLC||403R-00136|Retail Marijuana Cultivation Facility|Approved|400 South Lipan Street, Unit 23|Denver CO  80223|Denver|Denver|CO|80223|
1 STOP SHOP LLC||403R-00778|Retail Marijuana Cultivation Facility|Approved|400 South Lipan Street, Unit 6|Denver CO  80223|Denver|Denver|CO|80223|
10185 RIDGE LLC|EVERBLOOM|403-00602|Optional Premises|Approved|695 Bryant Street|Denver CO  80204|Denver|Denver|CO|80204|
10185 RIDGE LLC|EVERBLOOM|403-01488|Optional Premises|Approved|695 Bryant Street|Denver CO  80204|Denver|Denver|CO|80204|
10185 RIDGE LLC|EVERBLOOM|402-00967|Center - Type 2|Approved|10185 West 49th Avenue|Wheat Ridge CO  80033|Wheat Ridge|Jefferson|CO|80033|
10185 RIDGE LLC|EVERBLOOM|402R-00763|Retail Marijuana Store|Approved|10185 West 49th Avenue|Wheat Ridge CO  80033|Wheat Ridge|Jefferson|CO|80033|
1-11 LLC|1:11 LLC|404R-00138|Retail Marijuana Products Mfg|Approved|54414 County Road F|Center CO  81125|Center|Saguache|CO|81125|
1-11 LLC|1:11 LLC|403R-00537|Retail Marijuana Cultivation Facility|Approved|54414 County Road F|Center CO  81125|Center|Saguache|CO|81125|
1-11 LLC|1:11|402R-00581|Retail Marijuana Store|Approved|17034 Highway 17|Moffat CO  81143|Moffat|Saguache|CO|81143|
1-11 LLC|1:11|402-01197|Center - Type 1|Approved|17034 Highway 17|Moffat CO  81143|Moffat|Saguache|CO|81143|
1-11 LLC|1:11|403-01840|Optional Premises|Approved|54414 County Road F|Center CO  81125|Center|Saguache|CO|81125|
132 ENTERPRISES LLC|KLONE|403R-00974|Retail Marijuana Cultivation Facility|Approved|322 North Norfolk Unit I|Aurora CO  80011|Aurora|Arapahoe|CO|80011|
1617 WAZEE STREET LLC|LODO WELLNESS CENTER|402-00017|Center - Type 1|Approved|1617 Wazee Street, Unit B|Denver CO  80202|Denver|Denver|CO|80202|
1617 WAZEE STREET LLC|LODO WELLNESS CENTER|402R-00081|Retail Marijuana Store|Approved|1617 Wazee Street, Unit B|Denver CO  80202|Denver|Denver|CO|80202|
1617 WAZEE STREET LLC|LODO WELLNESS CENTER|403R-00102|Retail Marijuana Cultivation Facility|Approved|1617 Wazee Street, Unit B|Denver CO  80202|Denver|Denver|CO|80202|
1617 WAZEE STREET LLC|LODO WELLNESS CENTER|403-01875|Optional Premises|Approved|1617 Wazee Street, Unit B|Denver CO  80202|Denver|Denver|CO|80202|
1917 SANTA FE LLC||402-00980|Center - Type 1|Approved|1917 Santa Fe Drive|Pueblo CO  81006|Pueblo|Pueblo|CO|81006|
1917 SANTA FE LLC||403-01548|Optional Premises|Approved|1917 Santa Fe Drive|Pueblo CO  81006|Pueblo|Pueblo|CO|81006|
1917 SANTA FE LLC||402R-00382|Retail Marijuana Store|Approved|1917 Santa Fe Drive|Pueblo CO  81006|Pueblo|Pueblo|CO|81006|
1917 SANTA FE LLC||403R-00424|Retail Marijuana Cultivation Facility|Approved|1917 Santa Fe Drive|Pueblo CO  81006|Pueblo|Pueblo|CO|81006|
2205 POPE VALLEY LLC||403R-00692|Retail Marijuana Cultivation Facility|Approved|2205 Pope Valley Ranch Road|Pueblo CO  81005|Pueblo|Pueblo|CO|81005|
2251SB LLC||403-01343|Optional Premises|Approved|1201 West Custer Place|Denver CO  80223|Denver|Denver|CO|80223|
2251SB LLC||402R-00048|Retail Marijuana Store|Approved|2251 South Broadway|Denver CO  80210|Denver|Denver|CO|80210|
2251SB LLC||402-00375|Center - Type 1|Approved|2251 South Broadway|Denver CO  80210|Denver|Denver|CO|80210|
3 DOG PRODUCTIONS LLC||403R-00618|Retail Marijuana Cultivation Facility|Approved|740 Newton Road|Pueblo CO  81005|Pueblo|Pueblo|CO|81005|
37 INC|APOTHECARY EXTRACTS|404-00498|Infused Product Manufacturer|Approved|3049 Delta Drive|Colorado Springs CO  80910|Colorado Springs|El Paso|CO|80910|
37 INC|APOTHECARY FARMS|402-01119|Center - Type 1|Approved|3049 Delta Drive|Colorado Springs CO  80910|Colorado Springs|El Paso|CO|80910|
37 INC|APOTHECARY FARMS|403-01723|Optional Premises|Approved|3049 Delta Drive|Colorado Springs CO  80910|Colorado Springs|El Paso|CO|80910|
37 INC|APOTHECARY FARMS|403-01724|Optional Premises|Approved|3049 Delta Drive|Colorado Springs CO  80910|Colorado Springs|El Paso|CO|80910|
3B FEDERAL1 LLC|BUDDY BOY|403-01140|Optional Premises|Approved|4600 North Ironton Street, Unit 102|Denver CO  80239|Denver|Denver|CO|80239|
3B FEDERAL1 LLC|BUDDY BOY|403-01141|Optional Premises|Approved|777 North Umatilla Street|Denver CO  80204|Denver|Denver|CO|80204|
3B FEDERAL1 LLC|BUDDY BOY|402-00751|Center - Type 2|Approved|155 North Federal Boulevard|Denver CO  80219|Denver|Denver|CO|80219|
3B FEDERAL1 LLC|BUDDY BOY|402R-00664|Retail Marijuana Store|Approved|155 North Federal Boulevard|Denver CO  80219|Denver|Denver|CO|80219|
3B KALAMATH LLC|BUDDY BOY|403-01133|Optional Premises|Approved|777 North Umatilla Street|Denver CO  80204|Denver|Denver|CO|80204|
3B KALAMATH LLC|BUDDY BOY|402-00745|Center - Type 3|Approved|120 South Kalamath Street|Denver CO  80223|Denver|Denver|CO|80223|
3B UMATILLA LLC|BUDDY BOY|403-01134|Optional Premises|Approved|777 North Umatilla Street  |Denver CO  80204|Denver|Denver|CO|80204|
3B UMATILLA LLC|BUDDY BOY|402-00746|Center - Type 2|Approved|777 North Umatilla Street|Denver CO  80204|Denver|Denver|CO|80204|
3B-38 LLC|BUDDY BOY|403-01309|Optional Premises|Approved|4600 North Ironton Street, Unit 102|Denver CO  80239|Denver|Denver|CO|80239|
3B-38 LLC|BUDDY BOY|403R-00435|Retail Marijuana Cultivation Facility|Approved|4600 North Ironton Street, Unit 102|Denver CO  80239|Denver|Denver|CO|80239|
3B-38 LLC|BUDDY BOY|402R-00386|Retail Marijuana Store|Approved|4012 West 38th Avenue|Denver CO  80212|Denver|Denver|CO|80212|
3B-38 LLC|BUDDY BOY|402-00849|Center - Type 3|Approved|4012 West 38th Avenue|Denver CO  80212|Denver|Denver|CO|80212|
3-D DENVERS DISCREET DISPENSARY LLC|3D CANNABIS CENTER|402R-00248|Retail Marijuana Store|Approved|248 East US Highway 50|Salida CO  81201|Salida|Chaffee|CO|81201|
3LP LLC|MINDFUL|402R-00290|Retail Marijuana Store|Approved|19201 East Colfax Avenue|Aurora CO  80011|Aurora|Adams|CO|80011|
3LP LLC|MINDFUL|402R-00333|Retail Marijuana Store|Approved|1401 Peoria Street|Aurora CO  80011|Aurora|Arapahoe|CO|80011|
